order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD184160,ID6167344505,2019-08-28,Nickolson,"[('Thunder line', 2), ('Universe Note', 2), ('Lucent 330S', 1), ('pearTV', 2)]",25110,66.13,-37.8070359,144.9660046,5,23920.63,Winter,False,1.324,nice phone but! loved the phone but would not work on my verizon network! had to return,True
ORD446807,ID0588198716,2019-08-11,Nickolson,"[('Alcon 10', 1), ('iStream', 1)]",9100,65.55,-37.8121951,144.9738711,15,7800.55,Winter,False,0.8074,"there ok. these are nice screen protectors i had one last a long time, but the last 3 i have used have cracked under the surface from just being in my pocket. it's usually just a small hair line crack. they are real glass and feels like the phone screen. your fingers slide over it easily.",True
ORD156155,ID0233255225,2019-11-10,Bakers,"[('iStream', 2), ('Thunder line', 2), ('Toshika 750', 2)]",21560,67.5,-37.7988316,144.98308369999995,15,18393.5,Spring,False,1.639,slow performance and charging port very low poor quality it gets frozen most of the times,False
ORD392895,ID0242532853,2019-04-30,Nickolson,"[('iAssist Line', 1), ('Alcon 10', 2), ('Toshika 750', 2), ('Thunder line', 2)]",33125,70.89,-37.799356700000004,144.97274819999996,10,29883.39,Autumn,False,2.1599,works flawlessly i've had this phone since 2012 and it's worked flawlessly ... only drawback is that microsoft won't be updating this model to windows mobile 10,True
ORD370056,ID0440061349,2019-10-14,Bakers,"[('Toshika 750', 1), ('Thunder line', 2)]",8680,98.93,-37.8145045,144.9919676,5,8344.93,Spring,False,0.5782,excellent condition this item was delivered right on time. it is in perfect shape and works perfectly fine.,True
ORD222102,ID2325319146,2019-01-28,Thompson,"[('Candle Inferno', 1), ('Lucent 330S', 1)]",1660,77.42,-37.82445,144.9465365,10,1571.42,Summer,False,1.3118,"simple... loved it only one pro, battery life could be better and tough time following the unlock instructions and everything else is awesome",True
ORD166929,ID6237546435,2019-09-15,Bakers,"[('Toshika 750', 2), ('pearTV', 1), ('Universe Note', 2)]",21850,105.5,-37.80096810000001,145.00359619999998,10,19770.5,Spring,True,1.2454,love my alcon love the alcons and love the money i save buying a used unlocked phone here.,True
ORD030446,ID2841675041,2019-09-19,Nickolson,"[('iStream', 2), ('Lucent 330S', 2), ('Universe Note', 1)]",6210,105.0,-37.8080672,144.96921830000005,25,4762.5,Spring,True,1.1723,"looks like a brand new phone i purchased this digico-backed certified phone from this seller, and i was surprised by how new the phone looked. i am using it every day and it has never given me any issue at all.",True
ORD362380,ID2621587191,2019-10-14,Bakers,"[('Lucent 330S', 1), ('pearTV', 2), ('Universe Note', 1), ('iStream', 2)]",18470,80.73,-37.80883239999999,145.01025259999997,0,18550.73,Spring,False,1.3273,"works great. just inserted sim card phone arrived quickly and was as described. works great. just inserted sim card, completed phone set up, transfered all info from old phone and began using right away. very pleased after one week of use. phone was like new.",True
ORD439361,ID0639368399,2019-09-13,Thompson,"[('Olivia x460', 2), ('Lucent 330S', 1), ('iStream', 1), ('iAssist Line', 2)]",8280,64.39,-37.8208657,144.95518719999995,15,7102.39,Spring,False,1.1582,can i used this phone with cricket? can i used this phone with cricket?,False
