order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD491231,ID0641022879,2019-06-24,Thompson,"[('iAssist Line', 2), ('Thunder line', 2), ('Lucent 330S', 2)]",11270.0,65.19,-37.8079706,144.9406458,5,10771.69,Winter,False,0.7701,excellent. though i wish i had done more research ... excellent. though i wish i had done more research on the model and gone with a different one. this will do for now though. thanks.,1.0
ORD204737,ID3106293103,2019-09-01,Thompson,"[('Universe Note', 2), ('pearTV', 2), ('Thunder line', 2), ('Alcon 10', 2)]",41780.0,90.67,-37.806236299999995,144.9324545,0,41870.67,Spring,True,1.4715,broken i order one but came broken,0.0
ORD153979,ID0030947984,2019-04-22,Bakers,"[('iAssist Line', 1), ('Thunder line', 2)]",6585.0,50.73,-37.811941999999995,145.0039821,25,4989.48,Autumn,False,0.7994,warning: this is an unlocked t mobile device warning: this is not the version you get directly from oneplus. this is an unlocked t mobile device. someone has flashed it with the global version rom,0.0
ORD000610,ID5668009834,2019-10-29,Bakers,"[('Alcon 10', 2), ('Candle Inferno', 2), ('Lucent 330S', 2)]",21220.0,85.97,-37.810832899999994,145.0159988,5,20244.97,Spring,False,1.8287,"i love this tablet. it's easy to use, a great price & lightweight.",1.0
ORD491457,ID3157171395,2019-10-05,Nickolson,"[('iStream', 1), ('Olivia x460', 1)]",1375.0,79.46,-37.82144260000001,144.95731990000004,0,1454.46,Spring,False,1.1213,"great deal for a great price! as advertised att smartphone. had a few minor dings in the bezel, but overall in great working conditions. excellent replacement phone for the one my daughter had broken. arrived prior than indicated and with a 30 day warranty. great deal for a great price!",1.0
ORD221325,ID1492145826,2019-10-11,Thompson,"[('Toshika 750', 2), ('Candle Inferno', 1), ('Alcon 10', 1), ('pearTV', 2)]",30640.0,98.71,-37.813473200000004,144.95211909999998,10,27674.71,Spring,True,0.45299999999999996,great phone! great phone!,1.0
ORD280183,ID2096325804,2019-06-23,Thompson,"[('Lucent 330S', 1), ('iAssist Line', 1), ('iStream', 2)]",3755.0,78.87,-37.800868,144.9535731,10,3458.37,Winter,True,1.4332,toshika es lo mejor excelente teléfono único y original,1.0
ORD409700,ID0844462093,2019-04-27,Thompson,"[('pearTV', 2), ('iAssist Line', 1), ('Alcon 10', 2), ('Candle Inferno', 2)]",33605.0,66.8,-37.8210918,144.9473694,15,28631.05,Autumn,False,0.9375,great good,1.0
ORD442547,ID2190483587,2019-07-17,Nickolson,"[('Lucent 330S', 1), ('Universe Note', 1), ('Toshika 750', 2)]",13320.0,67.57,-37.810231200000004,144.96140269999995,5,12721.57,Winter,False,1.1749,"xx bought in rural alaska. took a while to get there. once there, it worked perfectly with gci phone system",1.0
ORD327162,ID0387152940,2019-04-05,Thompson,"[('Lucent 330S', 2), ('iAssist Line', 1)]",4685.0,67.43,-37.8029033,144.945419,10,4283.93,Autumn,False,1.0972,"very good for a budget phone the device is a solid built, very happy about purchasing it",1.0
