order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD261684,ID2941596454,2019-03-20,Nickolson,"[('Candle Inferno', 1), ('Thunder line', 1), ('iStream', 1)]",2760,64.87,-37.8196969,144.97441750000004,0,2824.87,Autumn,False,0.4452,"as good as new! very happy with my phone. as good as new, not even a scratche. i could not believe it for 1/3 of the original price! ordering another one for my son xmas present.",True
ORD054149,ID1282403447,2019-05-15,Thompson,"[('iAssist Line', 2), ('Toshika 750', 2)]",13090,80.2,-37.8131388,144.9585845,10,11861.2,Autumn,True,1.014,great beautiful device xp lumia 920 yellow simply the most beautiful phone i have ever own. i upgraded from my olivia focus and loving the new features of windows phone 8. loved the xbox smartglass app and the kids separate home page.,True
ORD161722,ID0598347148,2019-03-01,Nickolson,"[('Candle Inferno', 2), ('Lucent 330S', 2), ('pearTV', 2)]",15940,63.31,-37.8140879,144.96328019999999,0,16003.31,Autumn,False,0.7455,"five stars worked great, just what i needed",True
ORD185137,ID0664377811,2019-04-03,Nickolson,"[('pearTV', 2), ('Universe Note', 2), ('Toshika 750', 1), ('iStream', 2)]",24140,77.44,-37.820752899999995,144.9669809,25,18182.44,Autumn,True,0.3298,face unlock is easier big screen and very light weight!,True
ORD311901,ID6167417968,2019-03-20,Nickolson,"[('iStream', 2), ('Thunder line', 2)]",4660,64.12,-37.8120161,144.9703916,0,4724.12,Autumn,False,0.7361,upgrade from 5c very happy with this phone,True
ORD486897,ID1224821939,2019-05-26,Thompson,"[('pearTV', 2), ('Candle Inferno', 1), ('Toshika 750', 2), ('iAssist Line', 1)]",23915,80.99,-37.8122826,144.9384914,5,22800.24,Autumn,True,0.7556,"the screen is great on the inferno hd 8. this tablet was given to a child and she loves the tablet. the only thing i don't like about the whole digico experience is the advertisement. other than that, the tablet is nice.",True
ORD347142,ID0777716590,2019-04-12,Thompson,"[('Lucent 330S', 1), ('Olivia x460', 2), ('Universe Note', 1)]",7130,66.18,-37.805523799999996,144.9555785,0,7196.18,Autumn,True,1.0925,no good bad for me,False
ORD495051,ID0207085833,2019-03-16,Bakers,"[('pearTV', 1), ('Candle Inferno', 1)]",6740,69.51,-37.8103794,145.0144404,0,6809.51,Autumn,False,1.6898,five stars it was brand new and works great! would buy from them again!!,True
ORD119487,ID2086696164,2019-03-09,Thompson,"[('Olivia x460', 2), ('pearTV', 2), ('Candle Inferno', 1)]",15500,61.7,-37.8159761,144.9513099,25,11686.7,Autumn,True,0.5237,one star garbage,False
ORD456953,ID0767733189,2019-03-31,Nickolson,"[('Toshika 750', 2), ('Candle Inferno', 2), ('Alcon 10', 2), ('iAssist Line', 2)]",31850,81.75,-37.804201299999995,144.9714423,25,23969.25,Autumn,True,1.6109,"excellent price, works perfectly like brand new, works great",True
ORD396806,ID0259617268,2019-04-17,Thompson,"[('Lucent 330S', 2), ('Toshika 750', 2), ('Thunder line', 1)]",13280,49.52,-37.8054791,144.9487798,25,10009.52,Autumn,False,0.8148,"the sound clarity specifically when you want to use speaker phone is quite poor. item did not come with t-mobile sim which was expected. also, it did not arrive in a typical t mobile box so not sure about authenticity. the sound clarity specifically when you want to use speaker phone is quite poor.",False
ORD106635,ID0847529577,2019-03-25,Nickolson,"[('Toshika 750', 2), ('iStream', 1), ('Universe Note', 2), ('Thunder line', 1)]",17870,79.2,-37.823631299999995,144.9673422,5,17055.7,Autumn,True,0.5933,"every picture needs to be taken in ""selfie mode"" other than that it works great. arrived with broken camera. every picture needs to be taken in ""selfie mode"" other than that it works great.",True
ORD080576,ID0708718060,2019-05-18,Thompson,"[('Toshika 750', 2), ('iAssist Line', 1)]",10865,51.43,-37.807598799999994,144.9567996,25,8200.18,Autumn,False,1.0254,"one star after 6 months, the vibration setting stopped working",False
ORD179285,ID1994687827,2019-04-08,Thompson,"[('Candle Inferno', 2), ('Toshika 750', 1), ('Thunder line', 1)]",7360,70.85,-37.7980256,144.95272119999996,25,5590.85,Autumn,False,1.7046,easy and manuabable out of this world....olivia products.....the best.,True
ORD382570,ID0103121701,2019-03-08,Thompson,"[('Candle Inferno', 1), ('Lucent 330S', 1), ('Olivia x460', 2)]",4110,49.42,-37.812653399999995,144.954667,0,4159.42,Autumn,False,0.6682,it's not unlocked intenté poner una sin car de straight talk y que triste saber que no funciona. aquí dentro de estados unidos. debería tener más información,False
